29.604,22.06098243,21.59,1.5109399044
30.969,21.8942325,20.186,2.4101761432
31.273,19.1477849832,20.852,1.4523745445
32.222,22.151309364,21.475,1.7837795262
29.156,19.352009286,22.559,2.1564129136
29.946,15.1053827796,21.25,2.0054985892
31.054,16.8088268556,20.205,2.1160086661
30.568,15.576782022,21.828,1.8208080219
31.143,18.320344002,22.223,1.7746810899
28.203,11.4568519176,23.128,2.0168432142
31.499,22.1122566468,21.81,1.7653242719
29.5,16.179762222,22.661,2.153836428
30.58,21.93093774,21.08,2.2585081281
30.498,23.0518644246,21.083,1.9137608978
29.735,23.9869322485,17.397,2.9116500085
29.206,22.7216238271,16.87,1.6522915615
29.455,22.1094437112,17.706,1.4101369761
28.752,13.4322456348,20.216,3.5741004384
29.17,23.8152952649,16.605,3.3624279016
30.804,22.4187929388,17.05,2.7363057331
29.121,12.9874265532,18.128,3.2995650209
28.948,24.3574388136,16.919,4.0860764977
28.413,23.2324287588,14.74,2.4586069049
29.16,24.5780942184,16.096,1.8859384813
30.045,24.56286781,15.773,1.9473509094
30.772,24.2711052516,17.458,2.4063555453
31.814,24.31053306,17.518,1.8919171031
32.501,18.09218768,20.521,2.3560906367
29.771,14.5402160065,21.922,1.8490339005
31.258,20.6270656801,20.936,2.3493364418
31.757,24.849222696,17.249,2.0335987893
